waktu,brand,tipe,sale
2021-01-01,HONDA,All New City IVTEC E AT,16
2021-02-01,HONDA,All New City IVTEC E AT,19
2021-03-01,HONDA,All New City IVTEC E AT,5
2021-04-01,HONDA,All New City IVTEC E AT,0
2021-05-01,HONDA,All New City IVTEC E AT,0
2021-06-01,HONDA,All New City IVTEC E AT,0
2021-07-01,HONDA,All New City IVTEC E AT,0
2021-08-01,HONDA,All New City IVTEC E AT,0
2021-09-01,HONDA,All New City IVTEC E AT,0
2021-10-01,HONDA,All New City IVTEC E AT,0
2021-11-01,HONDA,All New City IVTEC E AT,21
2021-12-01,HONDA,All New City IVTEC E AT,9
2021-01-01,HONDA,All New Civic,41
2021-02-01,HONDA,All New Civic,91
2021-03-01,HONDA,All New Civic,104
2021-04-01,HONDA,All New Civic,0
2021-05-01,HONDA,All New Civic,0
2021-06-01,HONDA,All New Civic,0
2021-07-01,HONDA,All New Civic,0
2021-08-01,HONDA,All New Civic,0
2021-09-01,HONDA,All New Civic,0
2021-10-01,HONDA,All New Civic,0
2021-11-01,HONDA,All New Civic,47
2021-12-01,HONDA,All New Civic,13
2021-01-01,HONDA,All New Civic Prestige,0
2021-02-01,HONDA,All New Civic Prestige,0
2021-03-01,HONDA,All New Civic Prestige,0
2021-04-01,HONDA,All New Civic Prestige,0
2021-05-01,HONDA,All New Civic Prestige,0
2021-06-01,HONDA,All New Civic Prestige,0
2021-07-01,HONDA,All New Civic Prestige,0
2021-08-01,HONDA,All New Civic Prestige,0
2021-09-01,HONDA,All New Civic Prestige,0
2021-10-01,HONDA,All New Civic Prestige,0
2021-11-01,HONDA,All New Civic Prestige,0
2021-12-01,HONDA,All New Civic Prestige,0
2021-01-01,HYUNDAI,Ioniq EV Prime,2
2021-02-01,HYUNDAI,Ioniq EV Prime,2
2021-03-01,HYUNDAI,Ioniq EV Prime,0
2021-04-01,HYUNDAI,Ioniq EV Prime,3
2021-05-01,HYUNDAI,Ioniq EV Prime,1
2021-06-01,HYUNDAI,Ioniq EV Prime,11
2021-07-01,HYUNDAI,Ioniq EV Prime,4
